==loop WT_1 WT_2 WT_3 TRT_1 TRT_2 TRT_3 baseMean log2FoldChange lfcSE pvalue padj
62==62 24 28 31 132 124 148 79.5140495742171 2.19512904583005 0.276200704355858 1.21431533974226e-16 1.03899856256697e-14
63==63 85 74 69 83 42 78 70.7738518342491 -0.0934826986846069 0.205485186505854 0.503996414980109 0.999550476130121
64==64 3 8 6 6 7 5 5.74216232925006 0.00975322217061779 0.250448683199517 0.923692065156747 0.999550476130121
65==65 35 56 48 55 60 41 48.3954127150894 0.0683116572331411 0.204692497311383 0.622514338012319 0.999550476130121
66==66 21 15 17 17 18 20 17.7230070150579 0.0104223339944927 0.223263271233725 0.93680525583229 0.999550476130121
67==67 35 32 35 29 31 23 30.3913895117451 -0.144378996359745 0.231601354201493 0.318378513809544 0.999550476130121
68==68 18 28 27 29 27 22 24.7784627400769 0.0281682816893617 0.21589590462883 0.83338714647798 0.999550476130121
69==69 20 21 22 18 9 15 17.2624144435397 -0.236095844896556 0.30565435285505 0.130576641533082 0.999550476130121
70==70 85 86 112 104 130 97 100.724603619639 0.116814869696593 0.193040458291327 0.407656858800555 0.999550476130121
72==72 58 62 53 40 55 49 52.0553096004994 -0.15296278122241 0.214451444945799 0.295298989511368 0.999550476130121
73==73 76 93 100 82 66 81 81.7895868804245 -0.14694910462697 0.200523620669169 0.306618716298797 0.999550476130121
74==74 5 4 4 6 4 2 4.10628497930104 -0.0165351549785623 0.256200223538134 0.85120295084766 0.999550476130121
75==75 80 88 96 76 65 90 81.2827461397199 -0.122011891739694 0.195765297530467 0.387651115016892 0.999550476130121
76==76 17 14 10 14 17 16 14.4325762322139 0.0520975688861446 0.233637574734782 0.679929689834917 0.999550476130121
77==77 34 45 34 32 37 49 37.893241436226 0.0178386324291344 0.204390973184541 0.896685532461234 0.999550476130121
78==78 43 49 31 60 36 48 43.7926327748924 0.0944633837589577 0.213330356298838 0.500736154259437 0.999550476130121
79==79 13 19 14 14 17 23 16.3956059547528 0.0663721789460362 0.233334835189972 0.607595271376852 0.999550476130121
80==80 38 34 47 42 47 45 41.5093415213446 0.070653235997922 0.204486609652288 0.6108948283254 0.999550476130121
81==81 94 53 82 109 83 86 83.1769997389339 0.137684460766501 0.208874516026923 0.341394697326349 0.999550476130121
82==82 26 27 24 24 27 29 25.7600541678752 0.0131871093808685 0.21199545041933 0.922681465491357 0.999550476130121
84==84 55 45 58 45 40 61 49.9101582555322 -0.0660909791250124 0.201660913846466 0.631464442590486 0.999550476130121
85==85 10 8 8 9 8 10 8.69717027747297 0.00713586402000699 0.241351643276716 0.950818492659073 0.999550476130121
87==87 20 18 13 17 19 14 16.5767463485023 -0.0158317679503859 0.225890843038455 0.899265044921593 0.999550476130121
88==88 56 35 60 27 70 64 51.1887751125182 0.0275482758474405 0.213008559276597 0.838626502555893 0.999550476130121
89==89 49 40 44 51 69 40 48.0596783524547 0.118886879400012 0.214425044210591 0.405646280046381 0.999550476130121
90==90 95 45 105 90 81 95 83.8717192653879 0.0447484158255787 0.201894811786718 0.745485615470176 0.999550476130121
91==91 77 98 73 96 116 84 89.2128146248503 0.13179344646956 0.198331353368539 0.352410388474083 0.999550476130121
92==92 11 12 10 10 7 13 10.3417436704693 -0.0385509754567456 0.240382135686876 0.741461474812355 0.999550476130121
93==93 40 49 33 38 38 38 38.7356192064098 -0.054831478724998 0.204812647768686 0.68834942172279 0.999550476130121
94==94 68 53 54 53 38 71 55.3222094402143 -0.0634661143391624 0.20302479384654 0.644176423995067 0.999550476130121
95==95 115 99 113 104 97 88 101.164646240599 -0.120554971482618 0.187038689026024 0.387805275063446 0.999550476130121
96==96 55 110 132 111 113 97 101.41133452497 0.0427761740339565 0.200382902915742 0.756832027430376 0.999550476130121
98==98 78 54 60 107 63 74 71.5138479614969 0.172808170909865 0.222366946567999 0.2473651199097 0.999550476130121
99==99 33 45 55 54 43 49 45.7813438094038 0.0526288978898556 0.20276261595381 0.702749843658487 0.999550476130121
100==100 72 52 46 43 56 69 55.4636011958657 -0.0185953085481033 0.198798377174055 0.890231081715049 0.999550476130121
101==101 90 128 103 560 416 472 288.931186622396 2.10400256475381 0.230835449977331 4.53612424993135e-21 1.17851883548764e-18
102==102 58 87 72 47 113 65 72.5112071054183 0.0132013015580706 0.205073670752951 0.92394061166094 0.999550476130121
103==103 44 43 33 48 43 29 39.3935986960525 -0.0094061310664572 0.204062845835682 0.943250559944688 0.999550476130121
104==104 125 99 68 121 94 76 95.6939973357654 -0.0128126624113929 0.19461831838842 0.923629021013616 0.999550476130121
105==105 46 71 68 78 103 102 76.6704285892351 0.409518070495699 0.268498042795952 0.025806220577125 0.532976318514201
106==106 69 98 113 85 108 115 96.4609812215982 0.0613441760471622 0.190882596354178 0.657452578772024 0.999550476130121
107==107 58 53 34 35 40 35 41.8875541225514 -0.216994263274717 0.248408903652196 0.165020202598117 0.999550476130121
108==108 29 24 28 22 29 18 24.6374132872793 -0.100047566379553 0.228010039212605 0.466803397905246 0.999550476130121
109==109 98 122 111 118 138 86 110.446950776583 0.0139667889504603 0.183834653088446 0.919627670017082 0.999550476130121
110==110 51 34 32 46 39 64 43.609805399933 0.154900603166434 0.230598581612202 0.292153288082191 0.999550476130121
111==111 42 45 31 38 23 42 36.2836601790988 -0.0944886483171647 0.218364041729693 0.496107781026787 0.999550476130121
112==112 11 11 5 36 24 12 16.1988843734959 1.02480708351511 0.541091052708615 0.00290310922862045 0.0707900654907628
113==113 80 89 89 364 348 408 225.045705830532 2.05231325707668 0.217346586501818 2.16140482054503e-22 9.41488290694681e-20
114==114 12 7 11 13 13 16 11.8026848302355 0.130155409792858 0.264135008583515 0.316420497880979 0.999550476130121
115==115 58 59 52 57 49 62 55.3067660529718 -0.0155949865287897 0.191035551639163 0.907693343858525 0.999550476130121
116==116 108 118 120 104 96 132 111.28442973635 -0.047413852037162 0.179493005421744 0.725646500227348 0.999550476130121
