"","loop","WT_1","WT_2","WT_3","TRT_1","TRT_2","TRT_3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"9536",9536,48,25,38,49,46,55,42.2100380861417,0.000234879684250489,0.0550596292130584,0.982912905627368,0.999999433852421
"9537",9537,58,57,49,59,44,58,53.8554671697797,-3.83416154100629e-05,0.0548484860967442,0.995919340561014,0.999999433852421
"9538",9538,19,23,24,24,26,22,22.9006843448775,0.000310214587275654,0.0554410203736579,0.97017201347954,0.999999433852421
"9539",9539,78,60,75,147,122,91,91.1345867894969,0.000209904752687901,0.0543298246790604,0.987406185420729,0.999999433852421
"9540",9540,62,58,68,51,74,77,64.3637126946628,-0.000774456137946617,0.0546897249689492,0.94637513624275,0.999999433852421
"9541",9541,65,108,89,76,98,88,86.1755868917441,1.35952430097424e-07,0.0543750587042326,0.999078472613604,0.999999433852421
"9543",9543,20,25,44,29,31,29,28.8382659423798,-0.0010991684198076,0.0553317129075375,0.890416143023104,0.999999433852421
"9544",9544,9,7,11,11,9,9,9.26374033717659,0.000969980615898143,0.0557726760355786,0.853894299090276,0.999999433852421
"9545",9545,15,22,19,19,19,13,17.5802764931892,0.000186902390711728,0.055559160824116,0.980250032465881,0.999999433852421
"9546",9546,96,71,70,77,79,90,79.9573635800174,0.000230653400120841,0.0544577018330523,0.987231163078831,0.999999433852421
"9547",9547,48,53,46,45,52,40,47.1291614410314,0.000234343558710095,0.0549639066032978,0.983749826396346,0.999999433852421
"9548",9548,24,26,21,21,23,15,21.3633185408153,-0.00069655252311907,0.0554798144775764,0.925785831660817,0.999999433852421
"9549",9549,49,62,41,56,49,60,52.319922305338,-0.000331756004810181,0.0548762930769194,0.98316872478151,0.999999433852421
"9550",9550,66,61,62,61,64,70,63.9263433536399,-0.000702045493305326,0.054692792443505,0.951234463621303,0.999999433852421
"9551",9551,122,112,126,105,100,171,120.697090943044,-0.000123808711163466,0.0539767655254376,0.991614771845099,0.999999433852421
"9552",9552,50,67,56,65,30,46,50.6252965410959,0.00111700980932546,0.0549245111052471,0.919122997738365,0.999999433852421
"9553",9553,40,46,41,44,60,52,46.6899540432452,0.000708664988355816,0.0549787339028511,0.947637313341329,0.999999433852421
"9554",9554,20,29,24,28,32,21,25.3076621212887,-0.000153398078706714,0.0553896671941978,0.983529823123537,0.999999433852421
"9555",9555,15,18,15,18,18,21,17.38207639793,0.000587096721404694,0.0555675861741,0.934007947586184,0.999999433852421
"9556",9556,39,71,42,72,43,46,50.4967994254328,-0.000557743181693416,0.0549143100037192,0.957342295003547,0.999999433852421
"9557",9557,56,52,52,60,48,61,54.6418833734192,-0.000603783956931527,0.0548397867245984,0.951529914772649,0.999999433852421
"9558",9558,10,7,5,9,2,8,6.12372435695794,0.000696041608327396,0.0558453624884197,0.874153396018332,0.999999433852421
"9559",9559,4,5,6,28,24,24,11.3050894233094,-0.00150499180385472,0.0557872971093575,0.770594782316009,0.999999433852421
"9560",9560,81,84,92,72,53,51,70.410266469894,-0.000998299075372977,0.0546109482886611,0.933003990222983,0.999999433852421
"9561",9561,97,68,80,78,90,67,79.2763986749248,0.00026232542735164,0.0544666694582014,0.988178440818071,0.999999433852421
"9562",9562,65,46,56,80,66,53,60.0476044443626,-8.96672291341022e-05,0.0547511131405418,0.992809706866037,0.999999433852421
"9563",9563,9,17,16,14,20,16,14.9181029771353,-0.000272657650045971,0.0556248777643612,0.964752929083964,0.999999433852421
"9564",9564,113,79,106,93,91,132,100.932510040599,-0.00027204931014925,0.0541947590631001,0.982784156697267,0.999999433852421
"9565",9565,89,110,115,135,79,86,100.538121996244,0.000688088539892431,0.0542048194722472,0.962215829079594,0.999999433852421
"9566",9566,80,54,70,90,81,95,77.0636107439264,0.00082800984429649,0.0545088929748369,0.94884754483859,0.999999433852421
"9567",9567,81,63,66,67,70,71,69.446951235504,-0.000711346042576754,0.0546102623439541,0.951994014233888,0.999999433852421
"9568",9568,49,70,53,69,74,44,58.6899300864231,0.000603239134889363,0.0547776947047539,0.959211339382002,0.999999433852421
"9569",9569,17,13,23,29,20,15,18.8288983076439,9.14813627386818e-05,0.0555342197922285,0.992261468003846,0.999999433852421
"9570",9570,96,73,58,53,87,80,72.894467777853,-0.000743471623570877,0.0545661365779357,0.950607832059355,0.999999433852421
"9571",9571,16,11,13,15,12,16,13.7143117918646,0.000264004220871689,0.0556530529767885,0.967814661594399,0.999999433852421
"9572",9572,45,28,32,38,28,44,35.1632988027162,0.000854918146402107,0.0551977184764383,0.931119016293786,0.999999433852421
"9573",9573,16,13,17,17,16,20,16.380055276376,0.000675221845408792,0.0555926629256694,0.922311389310073,0.999999433852421
"9574",9574,89,98,70,99,79,68,82.9068970809304,3.03095732793911e-05,0.0544177112500966,0.997565057420347,0.999999433852421
"9575",9575,89,86,79,108,85,109,91.969008582736,0.000645001854434532,0.0543058524430829,0.963272032080191,0.999999433852421
"9576",9576,27,38,26,29,32,38,31.3062223394426,2.10678554340648e-05,0.0552621338871057,0.999586569287946,0.999999433852421
"9577",9577,141,141,85,104,105,121,114.328157900984,-0.000954471067105569,0.0540549036504242,0.945189768469462,0.999999433852421
"9578",9578,8,5,8,7,7,10,7.3542068835822,-0.000903096168073206,0.0558183689555689,0.845633325639023,0.999999433852421
"9579",9579,87,87,73,51,83,94,77.6898864651298,-0.000879375143374531,0.0544992554503079,0.943023390741716,0.999999433852421
"9580",9580,57,42,44,70,57,44,51.4304843908072,0.000469510441341268,0.0548950962681095,0.96888166491047,0.999999433852421
"9581",9581,56,46,57,38,45,66,50.4964563894073,0.000303346240766544,0.0549077869171237,0.984647948065729,0.999999433852421
"9582",9582,6,11,10,12,7,13,9.50897270084919,-0.000319174179335505,0.0557573420100715,0.950024365989059,0.999999433852421
"9583",9583,66,87,36,58,69,51,59.0094057602823,-0.00101363021933955,0.0547839931574751,0.928517917306966,0.999999433852421
"9584",9584,77,106,79,118,103,80,92.5179951733956,-0.000396086019801981,0.0542974631944039,0.975050361339546,0.999999433852421
"9585",9585,124,115,91,91,59,129,98.2371353750653,1.1252143222966e-05,0.0542316176939934,0.999481151466085,0.999999433852421
"9586",9586,83,92,79,88,94,70,83.9223226530701,-0.00064873540108126,0.0544073464100009,0.960717423520957,0.999999433852421
"9587",9587,88,82,73,70,98,115,86.3887682724735,-0.000127752638483909,0.0543739705026159,0.991040828104341,0.999999433852421
"9588",9588,9,17,15,19,18,20,15.8547184044506,-0.000287692667076754,0.0556065475823902,0.963652893543989,0.999999433852421
"9589",9589,26,18,26,16,25,20,21.4640215907214,0.00183752737190721,0.0555158479237097,0.811529313523943,0.999999433852421
"9590",9590,75,73,88,79,79,83,79.3503530996942,0.000770677278242395,0.0544705494643132,0.953004095148348,0.999999433852421
"9591",9591,20,16,18,23,26,17,19.7258817124564,-0.000411899770146599,0.055515341722596,0.952978138644686,0.999999433852421
