"loop"=="WT_1" "WT_2" "WT_3" "TRT_1" "TRT_2" "TRT_3" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "log2FoldChange" "lfcSE" "pvalue" "padj"
88==56 35 60 27 70 64 51.1887751125182 0.0275482758474405 0.213008559276597 0.838626502555893 0.999550476130121 -0.000201140164936391 0.0549344804061343 0.98353706828758 0.999999433852421
89==49 40 44 51 69 40 48.0596783524547 0.118886879400012 0.214425044210591 0.405646280046381 0.999550476130121 -0.000892529190100145 0.0549616608864836 0.931413400077348 0.999999433852421
90==95 45 105 90 81 95 83.8717192653879 0.0447484158255787 0.201894811786718 0.745485615470176 0.999550476130121 0.000860133281664736 0.054439680060146 0.951706715456085 0.999999433852421
91==77 98 73 96 116 84 89.2128146248503 0.13179344646956 0.198331353368539 0.352410388474083 0.999550476130121 -7.65520605304448e-05 0.0543329489824827 0.994064816835915 0.999999433852421
92==11 12 10 10 7 13 10.3417436704693 -0.0385509754567456 0.240382135686876 0.741461474812355 0.999550476130121 -0.00139384625459377 0.055758196119349 0.798291159070337 0.999999433852421
93==40 49 33 38 38 38 38.7356192064098 -0.054831478724998 0.204812647768686 0.68834942172279 0.999550476130121 7.18828906093484e-05 0.0551104890622583 0.997047428403961 0.999999433852421
94==68 53 54 53 38 71 55.3222094402143 -0.0634661143391624 0.20302479384654 0.644176423995067 0.999550476130121 0.00026972352616201 0.0548320178874108 0.987506591288808 0.999999433852421
95==115 99 113 104 97 88 101.164646240599 -0.120554971482618 0.187038689026024 0.387805275063446 0.999550476130121 0.000291545571234192 0.0541761721882954 0.984902459911527 0.999999433852421
96==55 110 132 111 113 97 101.41133452497 0.0427761740339565 0.200382902915742 0.756832027430376 0.999550476130121 -0.000251568239485357 0.0542194444753451 0.984309219167028 0.999999433852421
98==78 54 60 107 63 74 71.5138479614969 0.172808170909865 0.222366946567999 0.2473651199097 0.999550476130121 0.000305080698054676 0.0545923117721836 0.980749603912885 0.999999433852421
99==33 45 55 54 43 49 45.7813438094038 0.0526288978898556 0.20276261595381 0.702749843658487 0.999550476130121 -0.000199810571701616 0.0549881529362996 0.983276099526181 0.999999433852421
100==72 52 46 43 56 69 55.4636011958657 -0.0185953085481033 0.198798377174055 0.890231081715049 0.999550476130121 -0.000726080925382375 0.0548334701009458 0.946924034362399 0.999999433852421
101==90 128 103 560 416 472 288.931186622396 2.10400256475381 0.230835449977331 4.53612424993135e-21 1.17851883548764e-18 -0.000913397743030299 0.0533510175842662 0.953734367986159 0.999999433852421
102==58 87 72 47 113 65 72.5112071054183 0.0132013015580706 0.205073670752951 0.92394061166094 0.999550476130121 9.9024080211178e-05 0.0545950256692726 0.994621109781619 0.999999433852421
103==44 43 33 48 43 29 39.3935986960525 -0.0094061310664572 0.204062845835682 0.943250559944688 0.999550476130121 -0.00106776946402329 0.0551193173644222 0.91221799945809 0.999999433852421
104==125 99 68 121 94 76 95.6939973357654 -0.0128126624113929 0.19461831838842 0.923629021013616 0.999550476130121 -0.000249545892787607 0.054270118427957 0.983936301268184 0.999999433852421
105==46 71 68 78 103 102 76.6704285892351 0.409518070495699 0.268498042795952 0.025806220577125 0.532976318514201 -0.000660159053709868 0.0545384677939732 0.956250251981034 0.999999433852421
106==69 98 113 85 108 115 96.4609812215982 0.0613441760471622 0.190882596354178 0.657452578772024 0.999550476130121 0.000484601568053382 0.0542509289667285 0.972233986761495 0.999999433852421
107==58 53 34 35 40 35 41.8875541225514 -0.216994263274717 0.248408903652196 0.165020202598117 0.999550476130121 0.000125555716643944 0.0550684392697171 0.994009036744015 0.999999433852421
108==29 24 28 22 29 18 24.6374132872793 -0.100047566379553 0.228010039212605 0.466803397905246 0.999550476130121 -0.000514614193535467 0.0554059448322897 0.946349827155621 0.999999433852421
109==98 122 111 118 138 86 110.446950776583 0.0139667889504603 0.183834653088446 0.919627670017082 0.999550476130121 -0.000693154683859355 0.0540852028399416 0.956287634284539 0.999999433852421
110==51 34 32 46 39 64 43.609805399933 0.154900603166434 0.230598581612202 0.292153288082191 0.999550476130121 0.00110776186913899 0.0550569619917847 0.914961528947771 0.999999433852421
111==42 45 31 38 23 42 36.2836601790988 -0.0944886483171647 0.218364041729693 0.496107781026787 0.999550476130121 -0.000855095560635347 0.0551837991798424 0.926336812220908 0.999999433852421
112==11 11 5 36 24 12 16.1988843734959 1.02480708351511 0.541091052708615 0.00290310922862045 0.0707900654907628 0.000691576269622366 0.0556757425009535 0.91194268321416 0.999999433852421
113==80 89 89 364 348 408 225.045705830532 2.05231325707668 0.217346586501818 2.16140482054503e-22 9.41488290694681e-20 1.27365649161111 0.188716728386178 7.25209659129723e-13 1.80810975825542e-10
114==12 7 11 13 13 16 11.8026848302355 0.130155409792858 0.264135008583515 0.316420497880979 0.999550476130121 -0.000493324855185228 0.0557045743108733 0.92988193779663 0.999999433852421
115==58 59 52 57 49 62 55.3067660529718 -0.0155949865287897 0.191035551639163 0.907693343858525 0.999550476130121 -0.00033727536155266 0.0548140109905347 0.974401277990892 0.999999433852421
116==108 118 120 104 96 132 111.28442973635 -0.047413852037162 0.179493005421744 0.725646500227348 0.999550476130121 -0.000547436098060457 0.0540648969038559 0.968060853214774 0.999999433852421
117==97 77 79 62 100 79 81.0853123863356 -0.0486031989444949 0.190718706742051 0.721933866842981 0.999550476130121 0.000502160518341486 0.0544423085632722 0.969908648185095 0.999999433852421
118==76 82 84 79 63 92 78.130513015818 -0.0382613108548497 0.186387424922909 0.777978931545405 0.999550476130121 8.90272985637413e-05 0.0544714681632869 0.99414054951009 0.999999433852421
119==18 16 16 24 13 17 17.0678570831718 0.0285460075180749 0.226593422029061 0.824213699554869 0.999550476130121 0.000573889647710945 0.0555760827298274 0.935287115075097 0.999999433852421
120==97 79 109 87 102 118 97.1355719933579 0.0468702651854723 0.184620989681462 0.732747981751469 0.999550476130121 -0.000726888371965821 0.0542357880214633 0.960627715666034 0.999999433852421
121==36 31 40 33 19 16 28.7845522370093 -0.363896760191831 0.338360116737824 0.0516983871492864 0.877755734914175 -0.000410072698749941 0.0553481517075429 0.960036810767042 0.999999433852421
122==37 63 52 51 45 51 49.073488934509 -0.0332354023446085 0.199294662234909 0.807010970376005 0.999550476130121 -0.000662228434627622 0.0549328978078683 0.943498150942955 0.999999433852421
123==85 72 45 90 95 86 77.5322900703885 0.234574802705271 0.234270789060077 0.136741077213031 0.999550476130121 0.000510037777470756 0.0545132362476338 0.961432179392164 0.999999433852421
124==28 26 27 25 38 20 26.9155517900608 0.00513435672723439 0.214023579872952 0.970560838786411 0.999550476130121 0.000947842391674801 0.0553682507679947 0.9117129238827 0.999999433852421
125==30 34 28 29 21 30 28.2420616116679 -0.0935949563299053 0.221165008427611 0.498160199303238 0.999550476130121 -0.000590691553973903 0.0553279306796387 0.943846522441455 0.999999433852421
